PRICING_DATE,NAV_ADJUSTED,RISK_FREE_RATE,NAV,BENCH_LEVEL,FLOWS
2010-01-29,100.66,155.2527,100.66,116.3425,11765582.47105429
2010-02-26,102.28,155.2764,102.28,117.8241,10275514.783665681
2010-03-31,109.45,155.3045,109.45,125.4035,9501400.879617942
2010-04-30,112.79,155.3338,112.79,125.6153,12534259.371100483
2010-05-28,101.88,155.3668,101.88,113.5957,12527737.391811954
2010-06-30,98.29,155.4178,98.29,110.203,-8140654.50925247
2010-07-30,106.68,155.4767,106.68,119.1696,-4246521.508579536
2010-08-31,102.79,155.5387,102.79,115.0037,8600979.509544319
2010-09-30,111.3,155.5901,111.3,126.0058,854877.0931085125
2010-10-29,115.14,155.6334,115.14,130.5597,5224494.106051016
2010-11-30,112.43,155.6676,112.43,127.6549,11077773.021444758
2010-12-31,118.85,155.7011,118.85,137.0025,20357476.77998148
2011-01-31,125.87,155.735,125.87,139.1525,18952943.938565407
2011-02-28,125.64,155.7669,125.64,143.2054,25832977.376890223
2011-03-31,131.92,155.8031,131.92,143.0617,52858544.170648485
2011-04-29,134.35,155.8382,134.35,148.9146,29579592.261173643
2011-05-31,128.9,155.8731,128.9,145.7144,-7074456.945596367
2011-06-30,120.15,155.9042,120.15,143.4182,-3468677.2767262156
2011-07-29,112.72,155.9333,112.72,141.0834,-4769239.547566666
2011-08-31,104.42,155.9606,104.42,130.7772,-15949844.153600143
2011-09-30,91.84,155.9905,91.84,118.4299,-13862168.83636243
2011-10-31,102.18,156.0285,102.18,131.1195,1219611.5754391395
2011-11-30,100.71,156.074,100.71,127.1937,-2931667.9377331003
2011-12-30,101.6,156.1305,101.6,126.9371,-13174324.21367531
2012-01-31,109.27,156.1954,109.27,134.3176,35957407.522538885
2012-02-29,115.01,156.2608,115.01,141.0757,11997526.78580904
2012-03-30,114.43,156.3299,114.43,142.0126,11376948.444141718
2012-04-30,111.66,156.3928,111.66,140.389,16010780.893341022
2012-05-31,101.41,156.4556,101.41,127.8017,-6193609.22813887
2012-06-29,108.85,156.5134,108.85,134.114,-8358194.670326248
2012-07-31,110.37,156.5727,110.37,135.9497,8076512.531987459
2012-08-31,114.59,156.6275,114.59,138.9062,1958471.9445023956
2012-09-28,121.22,156.6723,121.22,143.2814,36075478.63177898
2012-10-31,123.72,156.7074,123.72,142.3257,65108869.71695049
2012-11-30,125.55,156.7383,125.55,144.146,27594138.198770195
2012-12-31,131.6,156.7693,131.6,147.4111,90927243.09536007
2013-01-31,140.81,156.8071,140.81,154.2019,24209144.723605413
2013-02-28,141.81,156.8424,141.81,154.1776,17933519.515928216
2013-03-29,147.69,156.8951,147.69,156.9965,39300448.534169175
2013-04-30,146.07,156.9496,146.07,161.4816,1827748.686853378
2013-05-31,141.3,157.0067,141.3,161.03927,9546015.035100471
2013-06-28,136.1,157.0538,136.1,156.33208,-53024161.7715456
2013-07-31,142.55,157.0953,142.55,163.81617,7378932.168687037
2013-08-30,136.67,157.1332,136.67,160.4028,-23612939.658450037
2013-09-30,144.68,157.1672,144.68,168.68826,-16366603.00928106
2013-10-31,147.25,157.2006,147.25,175.46768,-9928412.241678827
2013-11-29,145.58,157.2294,145.58,177.95297,-7717704.106751407
2013-12-31,150.68,157.256,150.68,181.02341,476921.3533375435
2014-01-31,146.08,157.2835,146.08,173.78214,-11204186.954791773
2014-02-28,152.33,157.3092,152.33,182.17745,-8061227.47957376
2014-03-31,147.84,157.3381,147.84,182.9872,-7957542.806676533
2014-04-30,144.99,157.3635,144.99,184.72869,-2514206.0975993155
2014-05-30,148.48,157.3888,148.48,188.65781,-20087918.678938974
2014-06-30,149.75,157.415,149.75,192.2101,-6140830.152146602
2014-07-31,143.72,157.4444,143.72,189.87665,3216564.1422548625
2014-08-29,148.91,157.476,148.91,194.07346,-13946210.068627596
2014-09-30,141.57,157.5097,141.57,187.77961,-1622905.5092882505
2014-10-31,146.54,157.544,146.54,189.10207,-21527491.822935503
2014-11-28,147.66,157.5768,147.66,192.26548,-10734396.76362994
2014-12-31,151.1,157.6049,151.1,188.55466,-44470125.94921087
2015-01-30,151.27,157.6288,151.27,185.60742,1223117.2289521145
2015-02-27,154.72,157.6542,154.72,195.94045,8441695.351550492
2015-03-31,152.87,157.6917,152.87,192.90378,-19618938.105896007
2015-04-30,150.88,157.7403,150.88,198.50138,15851320.899967747
2015-05-29,152.8,157.7942,152.8,198.24241,-11964131.491883
2015-06-30,150.65,157.8398,150.65,193.57514,1802250.5626723664
2015-07-31,148.57,157.8814,148.57,195.25628,1318143.3216495705
2015-08-31,139.46,157.9236,139.46,181.87137,-24146584.255112007
2015-09-30,130.5,157.974,130.5,175.28239,-22700486.702167135
2015-10-30,139.49,158.0347,139.49,189.03885,5340024.744413032
2015-11-30,146.48,158.1005,146.48,187.47814,15310354.596118381
2015-12-31,138.77,158.1867,138.77,184.09734,-5055661.654159994
2016-01-29,123.43,158.2829,123.43,172.9943,-12144181.137170227
2016-02-29,123.63,158.3802,123.63,171.80353,-54248274.92080508
2016-03-31,137.81,158.4815,137.81,184.53583,1460640.641595233
2016-04-29,137.03,158.5831,137.03,187.25979,12387621.005906308
2016-05-31,138.86,158.69,138.86,187.49639,4920367.661322731
2016-06-30,131.69,158.7834,131.69,186.36059,2737727.8545257486
2016-07-29,139.75,158.8873,139.75,194.39207,9235842.751166543
2016-08-31,141.71,158.9889,141.71,195.04577,-8675918.523826191
2016-09-30,141.4,159.0992,141.4,196.24114,-6045857.054646162
2016-10-31,137.53,159.2065,137.53,192.91039,-9204071.976220418
2016-11-30,141.67,159.3196,141.67,194.37644,-16101284.639861455
2016-12-30,145.99,159.4416,145.99,198.5753,-5692733.999827628
2017-01-31,148.35,159.5729,148.35,204.00496,4193278.4074360975
2017-02-28,153.8,159.696,153.8,209.72756,10257977.63630944
2017-03-31,155.7,159.8321,155.7,212.29327,-9588872.35300621
2017-04-28,160.5,159.9727,160.5,215.60179,11021965.501836631
2017-05-31,160.36,160.1218,160.36,220.3629,-8513827.410739692
2017-06-30,163.73,160.2729,163.73,221.36499,-5015080.689769969
2017-07-31,166.99,160.4314,166.99,227.5514,4266574.867280732
2017-08-31,168.18,160.5929,168.18,228.42318,5391058.578253425
2017-09-29,174.79,160.7578,174.79,232.83631,42421897.77931799
2017-10-31,181.61,160.9297,181.61,237.67124,41007817.259035856
2017-11-30,182.76,161.1034,182.76,242.27213,15142384.91745445
2017-12-29,186.31,161.2914,186.31,246.17797,-29668143.9416675
2018-01-31,197.01,161.4972,197.01,260.0665,5229650.826861382
2018-02-28,191.34,161.7058,191.34,249.14416,16256479.780077962
2018-03-29,194.55,161.9451,194.55,243.63361,31073580.668962568
2018-04-30,198.19,162.2374,198.19,246.13908,39855556.859634034
2018-05-31,199.11,162.5437,199.11,246.44638,3431444.5728857648
2018-06-29,194.63,162.8542,194.63,245.11177,4017733.6265544514
2018-07-31,190.81,163.1761,190.81,252.50355,36398847.139136605
2018-08-31,195.36,163.4972,195.36,254.48731,-12569617.734699307
2018-09-28,188.84,163.8091,188.84,255.59489,40877512.689248145
2018-10-31,162.99,164.1348,162.99,236.44088,15133360.821807997
2018-11-30,160.03,164.4587,160.03,239.89893,-52977781.091647446
2018-12-31,146.78,164.812,146.78,223.00178,-11208971.346945388
2019-01-31,165.74,165.1859,165.74,240.6099,-17091722.59662513
2019-02-28,163.04,165.5337,163.04,247.04553,14708069.634374779
2019-03-29,162.95,165.9125,162.95,250.15238,-10032499.135046292
2019-04-30,165.06,166.2675,165.06,258.59893,-1252884.263255508
2019-05-31,145.39,166.6252,145.39,243.259091,-5374898.600253174
2019-06-28,159.32,166.967,159.32,259.187602,6054337.01738721
2019-07-31,156.46,167.307,156.46,259.947061,-10726870.3208722
2019-08-30,153.3,167.6325,153.3,253.780519,2322183.5644393424
2019-09-30,161.58,167.9304,161.58,259.120455,4380371.763817833
2019-10-31,170.26,168.2297,170.26,266.21225,2337059.3563615712
2019-11-29,174.71,168.5031,174.71,272.71088,49520959.948050804
2019-12-31,178.36,168.7755,178.36,282.314453,-3546069.2769190613
2020-01-31,172.5,169.0386,172.5,279.196028,-36192106.89204044
2020-02-28,153.92,169.2774,153.92,256.645425,-34052466.35854829
2020-03-31,125.64,169.5099,125.64,221.997442,-33261418.711356163
2020-04-30,144.99,169.7069,144.99,245.778931,-22896605.196020216
2020-05-29,149.47,169.8412,149.47,256.468107,3326832.553532562
2020-06-30,154.16,169.9129,154.16,264.66290300000003,-11999258.972587766
2020-07-31,176.29,169.9407,176.29,278.660139,-4395907.027256711
2020-08-31,189.63,169.9616,189.63,295.715563,4894984.960257711
2020-09-30,182.81,169.9829,182.81,286.180744,-14790283.566727769
2020-10-30,177.66,169.9956,177.66,279.224093,-18375756.662548408
2020-11-30,202.47,170.0083,202.47,313.642071,84562142.83984792
2020-12-31,220.93,170.02,220.93,328.204305,64537178.597064674
2021-01-29,223.78,170.0322,223.78,326.711617,16792923.004392453
2021-02-26,236.96,170.0437,236.96,334.279386,73212634.16098836
2021-03-31,246.5,170.0569,246.5,343.207768,145493118.54698303
2021-04-30,263.96,170.0696,263.96,358.213679,268204316.0542839
2021-05-28,263.26,170.0806,263.26,363.622135,180493569.35805437
2021-06-30,250.55,170.0918,250.55,368.5821,61452348.94644276
2021-07-30,251.19,170.101,251.19,371.121922,108658096.85633388
2021-08-31,256.92,170.1103,256.92,380.410852,14835124.751800245
2021-09-30,247.32,170.1202,247.32,364.696174,61207658.99838597
2021-10-29,244.75,170.1305,244.75,383.311551,36002533.349849194
2021-11-30,247.53,170.1404,247.53,374.081235,12067681.406996781
2021-12-31,265.33,170.1502,265.33,389.04467,-3105624.99337568
2022-01-31,250.1,170.1604,250.1,369.937752,37091779.33619455
2022-02-28,248.14,170.1781,248.14,360.38328,-14959956.303464562
2022-03-31,247.41,170.230299999,247.41,368.188827,54261244.17477635
2022-04-29,249.73,170.322,249.73,338.718318,47604984.795098744
2022-05-31,244.83,170.468999999,244.83,339.114707,28078372.191979494
2022-06-30,211.28,170.650599999,211.28,310.528572,-41166411.40699506
2022-07-29,227.9,170.901999999,227.9,332.213566,-32815823.43352648
2022-08-31,220.88,171.222199999,220.88,319.983157,-22590155.72937091
2022-09-30,192.87,171.598999999,192.87,289.351393,-48757706.790551595
2022-10-31,205.36,172.0603,205.36,306.812893,-24358333.44478047
2022-11-30,217.03,172.595699999,217.03,330.610342,7139181.31176171
